"pd_id","pd_code","pd_name_ar","pd_name_en","deleted","insert_date","insert_uid"
"156","156","لولب / أدوات داخل الرحم","Intra-Uterine Devices","1","2/6/2014 8:04:22 PM","1"
"157","157","أدوات منع حمل أخرى","Other Contraceptive Devices","1","2/6/2014 8:04:22 PM","1"
"158","158","حفاضات مهبلية","Tampoons","1","2/6/2014 8:04:22 PM","1"
"159","159","أغذية زيادة الوزن","Weight Gain Food","1","2/6/2014 8:04:22 PM","1"
"160","160","ادوات التحكم بالوزن","Weight Control Devices","1","2/6/2014 8:04:22 PM","1"
"161","161","أقراص تحلية صناعية","Artificial Sweetner tablets","1","2/6/2014 8:04:22 PM","1"
"162","162","بودرة تحلية صناعية","Artificial Sweetner Powder","1","2/6/2014 8:04:22 PM","1"
"163","163","ميزان","Weight Scale","1","2/6/2014 8:04:22 PM","1"
"164","164","أدوات قياس الحرارة /ترموميتر","Temperature Meters","1","2/6/2014 8:04:22 PM","1"
"165","165","عناية بالنظر","Optical Devices","1","2/6/2014 8:04:22 PM","1"
"166","166","نظارات","Eye Glasses","1","2/6/2014 8:04:22 PM","1"
"167","167","شنبر نظارة","Eye Glass Frames","1","2/6/2014 8:04:22 PM","1"
"168","168","نظارات شمس","Sun Glasses","1","2/6/2014 8:04:22 PM","1"
"169","169","عدسات لاصقة","Contact Lenses","1","2/6/2014 8:04:22 PM","1"
"170","170","حافظة عدسات لاصقة","Contact Lens Case","1","2/6/2014 8:04:22 PM","1"
"171","171","أدوات تنظيف عدسات لاصقة","Contact Lens Cleaning Device","1","2/6/2014 8:04:22 PM","1"
"172","172","وسادة للعين","Eye Pad","1","2/6/2014 8:04:22 PM","1"
"173","173","منتجات بصرية أخرى","Other Optical Device","1","2/6/2014 8:04:22 PM","1"
"174","174","كبار السن","Geriatric Products","1","2/6/2014 8:04:22 PM","1"
"175","175","أدوات لكبار السن","Geriatric Devices","1","2/6/2014 8:04:22 PM","1"
"176","176","حفاضات كبار السن","Diapers: Geriatric","1","2/6/2014 8:04:22 PM","1"
"177","177","شامبو للشعر","shampoo for hair","1","2/6/2014 8:04:22 PM","1"
"178","178","شامبو & بلسم","SHAMPOO & COND","1","2/6/2014 8:04:22 PM","1"
"179","179","بلسم للشعر","HAIR BALSAM","1","2/6/2014 8:04:22 PM","1"
"180","180","صبغة للشعر","hair dying","1","2/6/2014 8:04:22 PM","1"
"181","181","مسكرا للشعر","Hair Mascara","1","2/6/2014 8:04:22 PM","1"
"182","182","سبراي شعر","Hair Spray","1","2/6/2014 8:04:22 PM","1"
"183","183","حنة","Henna","1","2/6/2014 8:04:22 PM","1"
"184","184","مشقر","Bleacher","1","2/6/2014 8:04:22 PM","1"
"185","185","عطور للسيدات","Women Perfumes","1","2/6/2014 8:04:22 PM","1"
"186","186","عطور للرجال","Men Perfumes","1","2/6/2014 8:04:22 PM","1"
"187","187","عطور للأطفال","Children Perfumes","1","2/6/2014 8:04:22 PM","1"
"188","188","كولونيا","كولونيا","1","2/6/2014 8:04:22 PM","1"
"189","189","مزيل عرق","Deoderants","1","2/6/2014 8:04:22 PM","1"
"190","190","مزيل رائحة العرق سبراى","Deoderant Spray","1","2/6/2014 8:04:22 PM","1"
"191","191","مزيل رائحة العرق ستيك","Deoderant Stick","1","2/6/2014 8:04:22 PM","1"
